"TITLE"	"CATEGORY"
"Kate, Duchess of Cambridge, in stitches on school visit with John Bishop"	"e"
"Ryan Lewis - Ryan Lewis Launches Health Centre Fundraiser In Honour Of His  ..."	"m"
"What Can We Expect From Beyonce and Jay-Zâ€™s â€˜On The Runâ€™ Tour?"	"e"
"Facebook Wants You To Ask, 'Hey, Girl, You Single?'"	"t"
"Amazing 'See-Through' Mice Seen As Aid To Study Of Anatomy"	"m"
"Best Buy Quarterly Profit Tops Estimates as Joly Trims Costs (1)"	"b"
"Captain America - The Falcon Gets A Promotion As New Captain America"	"e"
"Chris Brown - Chris Brown Not Interested In Reality Tv Show"	"e"
"Second US Case of Deadly Arabian Virus Reported in Florida (2)"	"m"
"Pound Rises Versus Euro on Signs Central Bank Policies Diverging"	"b"
"Inflation: The Silent Killer?"	"b"
"David Fincher Departs From Directing Steve Jobs Biopic"	"e"
"Elsa From 'Frozen' Has A Doppelgänger, And People Want Her To Be On 'Once  ..."	"e"
"US Stocks Rise, Bonds Slip a Fifth Day Amid Reports"	"b"
"German Ifo Business Index Declines as Growth Seen Slowing"	"b"
"Kim Kardashian and Kanye West announce they will give guests a 'private tour  ..."	"e"
"Led Zeppelin, ""Led Zeppelin,"" ''Led Zeppelin II"" and ""Led Zeppelin III"" (Atlantic)"	"e"
"Plosser Joins Fed Dissenters in Taking Losing Arguments Public"	"b"
"Selena Gomez - Selena Gomez' grandmother is worried about her"	"e"
"Is there anything she can't do? Melissa McCarthy throws near perfect pitch at  ..."	"e"
"BREAKING: Wikipedia Is NOT A Doctor -- And A Study Confirms It"	"m"
"'It's what the people want!' James Franco defends his semi-nude selfies as he  ..."	"e"
"Euro Slides on Germany as Spain Bonds Rise With Metals"	"b"
"Justin Bieber - Justin Bieber And Selena Gomez Choreograph Sexy Dance"	"e"
"Israeli Transgender Singer In Controversial Video"	"e"
"James Franco - James Franco To Direct Ex-girlfriend In Off-broadway Play"	"e"
"Trader Speed Craze Threatens Stability, Schneiderman Says"	"b"
"Mara Wilson Won't Appear In 'Mrs. Doubtfire' Sequel"	"e"
"France Inc. Turns to Deals as Hollande Economy Stalls"	"b"
"The Worst Things Written About 'Transformers: Age Of Extinction'"	"e"
"German Confidence Falls for First Time in Five Months"	"b"
"Amy Adams Flies Coach After Giving Up First Class Seat To U.S. Soldier"	"e"
"Passenger sues BA for sending him to wrong Granada"	"e"
"Kris Jenner shares Robert Kardashian's red Hot Mama socks from line"	"e"
"Mom: 3-Year-Old Was Forced To Urinate In Seat On Plane"	"e"
"'Sex Tape': Cameron Diaz And Jason Segel Spice Up Their Love Lives In The  ..."	"e"
"Piketty Rejects 'Ridiculous' Allegations of Data Flaws"	"b"
"The Net Neutrality Battle May Be Headed To Your Phone"	"t"
"Jimmy Fallon Can't Keep It Together Playing 'Face Balls' With Julia Roberts"	"e"
"Wu-Tang Clan distance themselves from troubled rapper who cut off his own  ..."	"e"
"Emma Watson on 'Noah': Aronofsky ""Had To Adapt It For The Screen"""	"e"
"Lindsay Lohan admits she's single as she guest hosts The View"	"e"
"Improving Job Market Propelling Rebound in US Growth: Economy"	"b"
"Russia's Economy Is Already In Recession, Estimates IMF"	"b"
"Kim Kardashian Channels Audrey Hepburn For Miami Photo Shoot"	"e"
"Before The Wedding, Kim And Kanye Finish Up ""Friendly"" Prenup Negotiations"	"e"
"Paul Walker's Brothers Will Step In To Finish 'Fast & Furious 7' Scenes"	"e"
"Miranda Lambert, ""Platinum"" (RCA Nashville)"	"e"
"Taiwan Dollar Set for Biggest Weekly Gain Since 2012 on Inflows"	"b"
"Microsoft Takes It Back, Promises Not To Snoop On Emails"	"t"
"Kim Kardashian's Rocky Road to a Vogue Cover, With Kanye West"	"e"
"Goop, She Did It Again"	"e"
"McDonald's CEO Under Pressure"	"b"
"Kanye West - Kanye West Celebrates Father's Day And Daughter's First Birthday"	"e"
"Will Jennette McCurdy's Sexy Selfies See 'Sam And Cat' Cancelled?"	"e"
"Kanye West - Kanye West's train delayed by four hours"	"e"
"TXU Energy Bankruptcy Has Texas Rivals 'Licking Their Chops'"	"b"
"Guardians Of The Galaxy - Guardians Director Not Convinced 'Chubby' Chris  ..."	"e"
"Shakira mouths the word 'f***' on live TV... after two of her singers land in the  ..."	"e"
"IRS Gave Bonuses To 1150 Workers Who Owed Back Taxes"	"b"
"Symantec Fires CEO Bennett as PC Slump Curbs Antivirus Sales (2)"	"b"
"China Money Rate Touches One-Month High After Cash Drained"	"b"
"India to Widen Scope for Currency Hedging by Foreign Investors"	"b"
"Climate Change Is on the Ballot"	"t"
"Total Stopped Buying Novatek Stock After Jet Downing"	"b"
"Watch The 'Game Of Thrones' Cast React To The Purple Wedding (SPOILER)"	"e"
"Chris Martin partied with brunettes before split with Gwyneth Paltrow"	"e"
"Lindsay Lohan Sues 'Grand Theft Auto V' Makers For Using Her Likeness"	"e"
"Dispatch from Cannes: Tarantino on Pulp Fiction and his love of spaghetti  ..."	"e"
"China's Stocks Head for Weekly Gain on Economic Growth Optimism"	"b"
"The Internet Reacts To US Airways' NSFW Tweet Exactly How You Would Expect"	"e"
"You Won't Be Getting Your Hands On Powdered Alcohol Anytime Soon"	"e"
"'Love Can Come To Everyone': The Heartbreaking 'Mad Men' Midseason Finale"	"e"
"UK Wants More Guarantees From Pfizer Over AstraZeneca Bid (1)"	"b"
"Adventurer And ""Bachelorette"" Contestant Dies After Paragliding Incident"	"e"
"NYSE's Niederauer Resigns With Plan to Leave ICE in August"	"b"
"Billy Dee Williams puts in wooden performance in Star Wars theme in DWTS"	"e"
"Kylie Jenner has an embarrassing trip as she leaves Kim Kardashian's  ..."	"e"
"AbbVie's Gonzalez Seeks Quick Diversity With Shire Offer"	"b"
"Hall of Fame quarterback Jim Kelly avoids surgery as doctors declare former  ..."	"m"
"2014 CinemaCon Offers Peeks At 'Transcendence,' 'Godzilla'"	"e"
"ADM Buys Wild Flavors for $3 Billion to Boost Ingredients"	"b"
"Richie Incognito Touches Down in Miami for Ultra Music Festival 2014"	"e"
"'Twin Peaks' Fans Salivate as Lynch Announces 90 Minutes of Deleted Material"	"e"
"Euro-Area Economic Confidence Climbs More Than Expected in May"	"b"
"So, Should You See 'The Amazing Spider-Man 2' or 'Neighbors' Tonight?"	"e"
"In a Fox-Time Warner Merger, Who Would Get CNN?"	"b"
"Amazon Says It Has No Netflix Killer Coming"	"t"
"Maine home sales increase as prices dip"	"b"
"These Are The Best Parts Of 'Get On Up'"	"e"
"A Tablet Too Late: Microsoft's New Surface Greets a Slowing Market"	"t"
"Meet The 'Game Of Thrones' Season 4 New Cast Members"	"e"
"I Watched Duke Porn Star Belle Knox Strip At A Gentlemen's Club"	"e"
"WTO Talks on Bali Accord Near Collapse Over India's Objections"	"b"
"Being bilingual may keep brain sharp in old age: Learning extra languages can  ..."	"m"
"Jane Fonda and Lily Tomlin to reunite for Netflix sitcom Grace And Frankie"	"e"
"Kendall Jenner, 18, dresses to shock in gown slashed to reveal her pelvic bones  ..."	"e"
"MPTF's Night Before The Oscars Pulling Out Of Partnership With Beverly Hills  ..."	"e"
"'He was one of the greats of cinema': Actor and film director Richard  ..."	"e"
"Kanye West Greeted With Boos At London's Wireless Festival"	"e"
"Here's How To Get More Time To File Your Tax Return"	"b"
"'Cosmic Inflation' Discovery Lends Key Support For Theory Of Expanding Early  ..."	"t"
"Cygnus Spacecraft Delivers Food, Stink-Free Gym Clothes To International  ..."	"t"
"Softbank Said to Ready Broadband Pitch Amid Merger Doubt"	"t"
"These Electric Cars May Replace Horse-Drawn Carriages In NYC"	"t"
"Will Smith - Willow Smith Causes A Stir With Controversial Bed Photo"	"e"
"VERSACE BRINGS J-LO TO PARIS"	"e"
"Sony PlayStation 4 Sales Reach 7 Million on Surging Demand (1)"	"t"
"Dramatic Drop In Colon Cancer Rates Thanks To More Screenings, Research  ..."	"m"
"Beyonce, Jay Z Unveil Wedding Video During On The Run Tour"	"e"
"Kim Kardashian posts gushing tribute to Kendall Jenner with Met Gala snap"	"e"
"'Moms Night Out' Feels Like a Dated TV Sitcom"	"e"
"Jackman gets police escort on Vic train"	"e"
"Facebook's Mark Zuckerberg earned $3.3billion in 2013 by selling stock options"	"b"
"An enviable destination! Kate Hudson flashes the flesh in floor-length cutout  ..."	"e"
"Victoria Beckham - Victoria Beckham shares unseen wedding photograph"	"e"
"Bruce Willis - Bruce Willis' daughter walks around topless"	"e"
"Preventing another Flight MH370: Airplanes to be fitted with remote black boxes  ..."	"b"
"Sherri Shepherd Fights For Full Custody Of Unborn Child After Filing For Divorce"	"e"
"Ann B. Davis Dead: Actress Who Played Beloved Housekeeper Alice On 'The  ..."	"e"
"Beyonce's 'Run' Trailer Givenchy Lace Pant Suit Is Bloody Hot"	"e"
"Shia LaBeouf Spirals: Arrested After New York Theatre Incident"	"e"
"Here Are The Other NY Times Drug Columns We Want To See"	"e"
"Third Trailer Makes Use Of Massive ""X-Men: Days Of Future Past"" Cast"	"e"
"What Happens When 20 Strangers Are Paired Off And Asked To Kiss? Magic"	"e"
"Russell Brand on Rolf Harris ""Newly Cast as the Villain"""	"e"
"Smokers Are Getting Skeptical About E-Cigarette Claims, According To Study"	"m"
"Home > Lupita Nyong'o > Lupita Nyong'o, Scarlett Johansson For The Jungle  ..."	"e"
"iPhones, iPads Hacked And Held For Ransom In Australia And New Zealand By  ..."	"t"
"One Direction - One Direction Continue To Dominate Kids' Choice Awards"	"e"
"Fed Saw Investors as Too Complacent on Risk as Exit Plan Evolves"	"b"
"Mara Wilson - Mara Wilson rules out Mrs Doubtfire sequel"	"e"
"Shaquille O'neal - Shaquille O'neal Accused Of Punching Tv Worker"	"e"
"Monty Python - Eric Idle Shrugs Off Monty Python Criticism"	"e"
"Thousands of North Koreans attended huge Pyongyang parade marking 64th  ..."	"e"
"Oracle Revenue, Profit Trail Estimates on Cloud Competition (1)"	"b"
"Southwest flight attendant makes passengers roar with laughter"	"e"
"Miley Cyrus reveals new 'sad kitty' tattoo on inside of her lip"	"e"
"Chipotle To Cover Cups With Think Pieces, Poems By Famous Writers"	"e"
"First-ever Camelopardalids meteor shower lights up skies across the U.S."	"t"
"Lena Dunham: I Feel Prettier With A Naked Face And ChapStick"	"e"
"Carrie Fisher Mum On 'Star Wars' Sequel Except To Say She Had To Lose 35  ..."	"e"
"Just How Good Will 'The Amazing Spider-man 2' Be?"	"e"
"China Gold Demand Rising 25% by 2017 as Buyers Get Wealthier"	"b"
"'Transformers: Age Of Extinction' Beats 'Tammy' On Slow Fourth Of July Weekend"	"e"
"Jon Favreau - Jon Favreau: Scarlett Johansson will be 'wonderful' mum"	"e"
"Eliza Dushku - Eliza Dushku And Rick Fox Split"	"e"
"Zendaya No Longer Playing Aaliyah In Lifetime Biopic"	"e"
"Judge Joe Brown Arrested In Memphis"	"e"
"Lucasfilm Announces Cast of 'Star Wars' Film Set for 2015 (1)"	"e"
"Arnold Schwarzenegger attempts to show off his hip-hop moves with Joe  ..."	"e"
"Madonna reveals a little too much as she poses in fishnet tights and thong for  ..."	"e"
"Not a bum deal: Two male assistants rub sand on Kim Kardashian's famous  ..."	"e"
"Peaches Geldof - Peaches Geldof was devoted to sons"	"e"
"Khloé Kardashian - Khloé Kardashian gets white Jeep for birthday"	"e"
"'The Normal Heart' Review: Great Performances Anchor An Uneven Film"	"e"
"Obese Breast Cancer Patients Have Higher Death Risk, Study Says"	"m"
"Khloe Kardashian - Khloe Kardashian finds Hamptons home"	"e"
"Level 3 Agrees to Buy TW Telecom in $5.7 Billion Deal"	"b"
"Ben Affleck - Ben Affleck crashes child's party"	"e"
"Lady Gaga steps out wearing bizarre lampshade headgear in New York"	"e"
"Michael Jackson Hologram Stunt Allowed To Go Ahead At Billboard Music Awards"	"e"
"Hilarious moment a six-year-old boy learns he's getting a third younger sister"	"e"
"A tower of power: Bizarre half-mile-high structure could produce as much  ..."	"b"
"Tori Spelling hit by claims she 'takes Vicodin and Oxycodone' amid marriage  ..."	"e"
"BET Awards Red Carpet 2014: Gabrielle Union, Ashanti & More Step Out In  ..."	"e"
"Our Mobile Apps"	"b"
"Hello Kitty Is Not A Cat Because Nothing Makes Sense Anymore"	"e"
"BNP Paribas Expected To Plead Guilty And Pay Nearly $9 Billion Fine: Report"	"b"
"US Stocks Rise on Earnings as Yen Climbs; Russian Shares Drop"	"b"
"Diane Sawyer Tells Her Viewers She's Leaving 'World News'"	"e"
"Corn Rebounds From Four-Month Low as Investors Weigh US Crop"	"b"
"Europe Banks in US Scrutiny as BNP Pays $8.97 Billion"	"b"
"Dollar Falls to Five-Week Low Versus Yen on Uneven US Recovery"	"b"
"Guo Xing Chen Arrested For Link To Target Data Breach: Report"	"b"
"Paul McCartney Finally Recommences Tour In New York After Bout With Virus"	"e"
"Robert Pattinson Reveals He Is ""Homeless"" And Talks ""Extraordinarily Heavy  ..."	"e"
"Tyler, The Creator faces up to a year in prison after being arrested for inciting a  ..."	"e"
"Peter Mayhew - Peter Mayhew Returning To Star Wars As Chewbacca"	"e"
"BOE's Bean Says Central Bank Stimulus Exit May Be Difficult (1)"	"b"
"Anthony Cumia Dropped From SiriusXM After Foul-Mouthed, Racially-Motivated  ..."	"e"
"Canada Trade Deficit Narrows in May as Auto Exports Rise"	"b"
"Spanish Bond Gain Pushes Yield to Eight-Year Low After Draghi"	"b"
"Amazon set to reveal its TV plans next week and will it be games console as well?"	"t"
"Burger King Offers To Cater Kim Kardashian, Kanye West Wedding"	"e"
"Amazon Actually Has To Be Nice To People It Works With, For Once"	"e"
"UK Stocks Little Changed as LSE Jump on Frank Russell"	"b"
"SolarCity Copies Musk's 'Gigafactory' Manufacturing Model"	"b"
"Time For ""Transformers: Age Of Extinction"" To Prove Its Metal With Early Release  ..."	"e"
"Amy Purdy and Derek Hough show off daring 'acroyoga' moves at DWTS rehearsal"	"e"
"Ebola Cases May Surpass 20000, WHO Says in Updated Plan"	"m"
"What It Looks Like To Find Out You Were Right About How The Universe Started  ..."	"t"
"Craig Ferguson announces retirement from The Late Late Show and calls split  ..."	"e"
"How Warren Buffett Would Cash In On Mobile Home Deregulation"	"b"
"Tammy - Susan Sarandon's Glow Had To Be Dimmed For Grandma Role In  ..."	"e"
"Dollar Store Deal Is $556 Million Profit for Peltz, Icahn"	"b"
"Oculus Buys Startup RakNet Ahead of Facebook Deal Close"	"t"
"Justin Bieber and Selena Gomez continue to rekindle their on-off relationship as  ..."	"e"
"'Heaven Is For Real' Review: Christian Adaptation Is Heartfelt But Dull"	"e"
"Kanye Raps About How Awesome Kim Is On Future's 'I Won'"	"e"
"Goldman Sees 24% China Stocks Rally on Decade-Low Valuations (1)"	"b"
"Seconds away from disaster: Dramatic moment two planes almost collide on  ..."	"b"
"Climate scientists in Japan to study warming risks"	"t"
"'The Voice' Battles: Competition Heats Up As Adams Steals From Shakira"	"e"
"Credit Suisse Said Near US Tax Deal for More Than $1 Billion"	"b"
"Why dark chocolate really IS good for you: Stomach microbes turn cocoa into a  ..."	"m"
"GM Canceled Ignition-Switch Fix in 2005 Due to Costs"	"t"
"Home > Shailene Woodley > Shailene Woodley Hooks Up With Co-star?"	"e"
"'Transcendence': Negative Reviews For Johnny Depp's 'Lone Ranger' Comeback"	"e"
"Newark Landings Altered After April 24 Near-Collision, FAA Says"	"b"
"S&P 500 Erases Loss as Investors Weigh Economy, Ukraine"	"b"
"Three people arrested outside Taylor Swift's Rhode Island beach house for  ..."	"e"
"'Batman Arkham Knight' Delayed For Town Planning Reasons"	"e"
"FitBit Faces Yet Another Fight Over Its Rash-Creating Trackers"	"m"
"Chris Pratt - Chris Pratt's son brought him closer to Anna Faris"	"e"
"AIG to Get at Least $650 Million in BofA Settlement"	"b"
"Behind CDC's Anthrax Lapse, an 'Insufficient Culture of Safety'"	"m"
"Tv - Reality Star Olivia Palermo Weds In New York"	"e"
"Ancient Tomb Unearthed In Egypt Had Its Own Pyramid, Archaeologists Say"	"t"
"Ackman: Pharma Is Prime to Benefit Shareholders"	"b"
"Marc Webb - Marc Webb won't direct Amazing Spider-Man 4"	"e"
"Sheryl Sandberg Stops Short Of Apology For Facebook Mood Study"	"t"
"Hidden 'Ocean' Discovered Deep Underground Near Earth's Core"	"t"
"Big Bangs, Inflation and B-Modes... Oh, My!"	"t"
"Saturn moon's 'magic island': Scientists baffled after mysterious object appears  ..."	"t"
"DETROIT (AP) — Big discounts helped US auto sales sizzle in July."	"b"
"Purple Wedding on Game Of Thrones features shocking twist after vicious King  ..."	"e"
"Placenta Home to Diverse Bacteria That May Affect Newborn Health"	"m"
"Hilary Duff Daydreams About Bikinis And Beaches In 'Chasing The Sun' Video"	"e"
"Google Glass: I Have Better Things to Do With $1500"	"t"
"Cottage Cheese Recall Issued By Kraft Foods After Manufacturing Mishap"	"b"
"Target Investors Should Replace Seven Directors, ISS Says"	"b"
"On The Red Carpet At 'American Idol' Season 13 Finale [Pictures]"	"e"
"Kim Replaces Defense Minister in North Korea's Latest Shakeup"	"e"
"Europe Stocks Rise With Emerging Markets as Bonds Decline"	"b"
"Sierra Leone Plans First Foreign Debt Sales for Power Output"	"m"
"Hollywood Boycott Threatens TransPacific Partnership"	"e"
"Raw Oysters Spike US Rise in Bacteria Infections, CDC Says (2)"	"m"
"Driving Through the Gap Between Buffett and Ackman: Opening Line"	"b"
"Justin Theroux films The Leftovers amid reports he and Jennifer Aniston 'plan to  ..."	"e"
"Julia Louis-Dreyfus Tells Sexism 'Get Out Of My Way'"	"e"
"Katt Williams - Police Urge Katt Williams To Get In Touch"	"e"
"EPA Proposes to Clarify When Federal Water Permits are Required"	"b"
"Ciara - Ciara celebrates baby shower with Kim Kardashian"	"e"
"Kanye West Proves He's Like Every Other Dad In Sweet Photo With North West"	"e"
"WTI Near 9-Month High as Iraq Unrest Yet to Hit Supplies"	"b"
"Whoopi Goldberg writes first marijuana blog"	"e"
"Simon Pegg Is In Star Wars Episode VII, Apparently"	"e"
"Frenzy of Volatility Bets Underpin Lowest VIX Since 2007"	"b"
"Bank Of America Messes Up Capital Calculation, Suspends Dividend Increase"	"b"
"Sexy sisters in the city! Kim, Kourtney and Khloe Kardashian show off enviable  ..."	"e"
"China HSBC Manufacturing Index Rises to Four-Month High"	"b"
"Jessica Alba is retro chic for her morning coffee run"	"b"
"Back to the Eighties! Demi Lovato is a blast from the past in denim jacket and  ..."	"e"
"Megan Fox - Megan Fox joins Instagram"	"e"
"Pfizer Ponders Next Move After AstraZeneca Bid Rejection"	"b"
"Gold Trades Near Four-Month Low Before ECB Decision, US Data"	"b"
"Syfy Master Plan for Sharknado 2 Actually Worked"	"e"
"European Bonds Drop as Ukraine Optimism Damps Demand for Safety"	"b"
"AAA: Average price of gasoline in Oregon $3.98"	"t"
"Will Target Turn to an Outsider in Search for Next CEO?"	"b"
"Windshield Washer Fluid Sprays Germs Tied to Deadly Legionnaires"	"m"
"Richard Gere Dating Top Chef's Padma Lakshmi On The Sly?"	"e"
"Guinea President Calls for Calm as Ebola Death Toll Rises to 78"	"m"
"The monster mash-up! Star Wars hires Godzilla filmmaker Gareth Edwards to  ..."	"e"
"Dj - Avicii Battling Gallbladder Problems In Miami"	"e"
"A class act: The day Oscar nominee Amy Adams gave up her first class seat for  ..."	"e"
"WATCH: Robin Thicke Details Aftermath Of Breakup With Paula Patton"	"e"
"Drug previously used as cancer treatment can slow progression of fatal lung  ..."	"m"
"ECB Primed for Action Seen Boosting Inflation Swaps"	"b"
"UK Inflation Quickens More Than Forecast on Airfare Surge (1)"	"b"
"Selena Gomez tries to avoid being spotted with Justin Bieber as they arrive at  ..."	"e"
"Baby North West was well-behaved, called her father 'Pa' during Kimye's pre  ..."	"e"
"This Is What It Looks Like When Miley Cyrus Rolls A Joint"	"e"
"Paul Walker - Paul Walker To Be Remembered At Mtv Movie Awards"	"e"
"Christina Aguilera - Christina Aguilera enjoys whimsical baby shower"	"e"
"Chiquita combines with Fyffes to be top banana"	"b"
"Christian Singers Sue Katy Perry Over 'Dark Horse'"	"e"
"Anti-Obamacare States Are Falling Far Behind In Insuring People"	"b"
"Topless again! Kim Kardashian wears nothing but sheer black tights to wish  ..."	"e"
"The Willow Smith Picture Debate: Inappropriate or Innocent?"	"e"
"Just another New Yorker? Dressed-down Kim Kardashian hails cab on way to  ..."	"e"
"What Google Glass Can't See"	"t"
"Look Out Spotify â€“ Amazon Launches Audio Streaming Service â€˜Prime  ..."	"e"
"Citigroup Agrees to $1.13 Billion Accord Over Mortgage Bonds (2)"	"b"
"Michael Lewis: Want Brad Pitt as 'Flash Boys' Star"	"b"
"SAC Record $1.8 Billion Insider Plea Caps 7-Year Probe"	"b"
"Monty Python - Monty Python kick off final run of gigs"	"e"
"Demi Lovato Opens Up About Overcoming Personal Struggles After 2010 Rehab  ..."	"e"
"Pregnant Hayden Panettiere reveals she's having a girl while glittering in silver  ..."	"e"
"Photos Of Frostie The Baby Goat Frolicking In His Tiny Wheelchair Are So Cute  ..."	"m"
"Katy Perry - Katy Perry to write songs about John Mayer"	"e"
"HP Said to Settle Shareholder Lawsuits Over Autonomy Deal"	"b"
"Jessica Simpson - Jessica Simpson marries Eric Johnson"	"e"
"Ultra Music Festival 2014: The Weekend Event's Most Memorable Moments"	"e"
"Karis Jagger emerges from house 'where her father Mick is staying' while he  ..."	"e"
"Finally! Mila Kunis Talks About Pregnancy And Engagement To Ashton Kutcher"	"e"
"Testing Underway After Water Leak At Site Of West Virginia Chemical Spill"	"b"
"This Is A Replica Of Vincent Van Gogh's Ear, Grown Using Real Genetic Material"	"e"
"Intel's Mobile-Chip Progress Falters as PC Market Stabilizes (1)"	"b"
"Teva Rejected by US Justice Roberts on Generic Copaxone Delay"	"b"
"Must be Thicke skinned! Robin puts on brave face after being abused during  ..."	"e"
"MONTGOMERY, Ala. (AP) — Alabama's unemployment rate has risen to 6.4  ..."	"b"
"Gene Therapy Could Boost Cochlear Implants, Animal Study Finds"	"m"
"Watch 13 BILLION years of cosmic evolution in 3 minutes: First ever realistic  ..."	"t"
